"Story","Title","Result","Date","Stability","Duration (s)"
"Navegar pelas abas no menu pricipal","verificar aba ver tarefas","SUCCESS","2020-12-09T17:39:20.165-03:00[America/Sao_Paulo]","0.0","10.47"
"Navegar pelas abas no menu pricipal","verificar aba criar tarefa","SUCCESS","2020-12-09T17:39:31.319-03:00[America/Sao_Paulo]","0.0","10.44"
"Navegar pelas abas no menu pricipal","verificar aba registro de mudancas","SUCCESS","2020-12-09T17:39:42.497-03:00[America/Sao_Paulo]","0.0","10.44"
"Navegar pelas abas no menu pricipal","verificar aba planejamento","SUCCESS","2020-12-09T17:39:53.627-03:00[America/Sao_Paulo]","0.0","10.53"
"Navegar pelas abas no menu pricipal","verificar aba resumo","SUCCESS","2020-12-09T17:40:04.845-03:00[America/Sao_Paulo]","0.0","10.63"
"Navegar pelas abas no menu pricipal","verificar aba gerenciar","SUCCESS","2020-12-09T17:40:16.17-03:00[America/Sao_Paulo]","0.0","10.54"
"Navegar pelas abas no menu pricipal","Navegar por abas","SUCCESS","2020-12-09T17:40:27.405-03:00[America/Sao_Paulo]","0.0","16.35"
"Navegar pelas abas no menu pricipal","Navegar por abas apos diminuir a bandeja","SUCCESS","2020-12-09T17:40:44.433-03:00[America/Sao_Paulo]","0.0","17.47"
"Navegar pelas abas no menu pricipal","verificar aba Usuários da tela de gerenciar","SUCCESS","2020-12-09T17:41:02.611-03:00[America/Sao_Paulo]","0.0","11.11"
"Navegar pelas abas no menu pricipal","verificar aba projetos da tela de gerenciar","SUCCESS","2020-12-09T17:41:14.454-03:00[America/Sao_Paulo]","0.0","11.48"
"Navegar pelas abas no menu pricipal","verificar aba Marcadores da tela de gerenciar","SUCCESS","2020-12-09T17:41:26.621-03:00[America/Sao_Paulo]","0.0","11.58"
"Navegar pelas abas no menu pricipal","verificar aba Campos Personalizados da tela de gerenciar","SUCCESS","2020-12-09T17:41:38.919-03:00[America/Sao_Paulo]","0.0","11.58"
"Navegar pelas abas no menu pricipal","verificar aba Perfís Globais da tela de gerenciar","SUCCESS","2020-12-09T17:41:51.212-03:00[America/Sao_Paulo]","0.0","12.12"
"Navegar pelas abas no menu pricipal","verificar aba Plugins da tela de gerenciar","SUCCESS","2020-12-09T17:42:04.068-03:00[America/Sao_Paulo]","0.0","13.33"
"Navegar pelas abas no menu pricipal","verificar aba Configuração da tela de gerenciar","SUCCESS","2020-12-09T17:42:18.131-03:00[America/Sao_Paulo]","0.0","12.75"
"Navegar pelas abas no menu pricipal","verificar aba Informação do Site da tela de gerenciar","SUCCESS","2020-12-09T17:42:32.7-03:00[America/Sao_Paulo]","0.0","11.81"
"Navegar pelas abas no menu pricipal","Navegar por abas da tela de gerenciar","SUCCESS","2020-12-09T17:42:45.284-03:00[America/Sao_Paulo]","0.0","19.79"
